symbol,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,trades_per_year,won_trades,lost_trades,win_rate,status
RELIANCE,99236.4493905735,-0.7664805811658378,-1.4440294129649807,1.7841364106392916,20,8.822463768115943,5,15,25.0,success
TCS,97948.94858394853,-2.0723775867011507,-1.6351559314041606,2.562387271095914,14,6.17572463768116,3,11,21.428571428571427,success
HDFCBANK,99600.6168280744,-0.4001828363759804,-2.0481652474007155,2.413388852840579,17,7.499094202898552,5,11,29.411764705882355,success
