symbol,start_date,end_date,years,initial_value,final_value,total_return,sharpe_ratio,max_drawdown,total_trades,trades_per_year,won_trades,lost_trades,win_rate,status
RELIANCE,2024-01-01,2026-04-08,2.2669404517453797,100000,97708.65924965266,-2.3179999857099407,-1.0586973933665225,3.0541019426376534,23,10.145833333333334,5,18,21.73913043478261,success
TCS,2024-01-01,2026-04-08,2.2669404517453797,100000,97955.78493968247,-2.0653983212043294,-2.2169008042207947,2.400021150203445,16,7.057971014492754,4,12,25.0,success
HDFCBANK,2024-01-01,2026-04-08,2.2669404517453797,100000,97998.76124256288,-2.0215347779421275,-1.1685692408189903,2.9609709253633096,17,7.499094202898552,5,12,29.411764705882355,success
